Button A: X+79, Y+87
Button B: X+44, Y+14
Prize: X=7384, Y=4824

Button A: X+28, Y+94
Button B: X+79, Y+69
Prize: X=7377, Y=13189

Button A: X+26, Y+58
Button B: X+61, Y+25
Prize: X=9412, Y=19188

Button A: X+21, Y+80
Button B: X+52, Y+52
Prize: X=3583, Y=5176

Button A: X+48, Y+11
Button B: X+24, Y+65
Prize: X=7568, Y=13141

Button A: X+15, Y+37
Button B: X+43, Y+25
Prize: X=8503, Y=5213

Button A: X+55, Y+80
Button B: X+70, Y+32
Prize: X=4680, Y=5760

Button A: X+24, Y+55
Button B: X+33, Y+12
Prize: X=6191, Y=14385

Button A: X+39, Y+79
Button B: X+29, Y+19
Prize: X=5301, Y=7161

Button A: X+13, Y+55
Button B: X+79, Y+25
Prize: X=12758, Y=5210

Button A: X+90, Y+24
Button B: X+61, Y+62
Prize: X=9173, Y=4870

Button A: X+41, Y+17
Button B: X+31, Y+63
Prize: X=15495, Y=471

Button A: X+32, Y+79
Button B: X+90, Y+55
Prize: X=7802, Y=5719

Button A: X+63, Y+15
Button B: X+64, Y+79
Prize: X=2535, Y=1560

Button A: X+46, Y+19
Button B: X+36, Y+55
Prize: X=4146, Y=9068

Button A: X+28, Y+74
Button B: X+65, Y+21
Prize: X=4156, Y=562

Button A: X+48, Y+28
Button B: X+23, Y+42
Prize: X=19127, Y=7522

Button A: X+45, Y+17
Button B: X+30, Y+67
Prize: X=3960, Y=6673

Button A: X+81, Y+39
Button B: X+11, Y+45
Prize: X=16858, Y=4886

Button A: X+43, Y+75
Button B: X+53, Y+19
Prize: X=10103, Y=11463

Button A: X+77, Y+40
Button B: X+13, Y+47
Prize: X=2578, Y=18870

Button A: X+20, Y+12
Button B: X+24, Y+50
Prize: X=9124, Y=4556

Button A: X+73, Y+30
Button B: X+14, Y+54
Prize: X=16545, Y=3470

Button A: X+29, Y+49
Button B: X+48, Y+18
Prize: X=10263, Y=703

Button A: X+80, Y+59
Button B: X+12, Y+31
Prize: X=19724, Y=4434

Button A: X+62, Y+42
Button B: X+17, Y+37
Prize: X=18973, Y=773

Button A: X+14, Y+42
Button B: X+68, Y+11
Prize: X=16024, Y=8928

Button A: X+80, Y+63
Button B: X+16, Y+56
Prize: X=4976, Y=8085

Button A: X+50, Y+41
Button B: X+14, Y+42
Prize: X=1940, Y=4185

Button A: X+60, Y+26
Button B: X+29, Y+95
Prize: X=2302, Y=4130

Button A: X+65, Y+14
Button B: X+67, Y+95
Prize: X=7864, Y=9509

Button A: X+99, Y+61
Button B: X+46, Y+90
Prize: X=6669, Y=5219

Button A: X+14, Y+68
Button B: X+80, Y+68
Prize: X=5160, Y=5508

Button A: X+33, Y+14
Button B: X+50, Y+71
Prize: X=12904, Y=4295

Button A: X+18, Y+96
Button B: X+73, Y+77
Prize: X=5732, Y=11206

Button A: X+19, Y+53
Button B: X+77, Y+29
Prize: X=6756, Y=6212

Button A: X+36, Y+12
Button B: X+39, Y+64
Prize: X=4508, Y=19028

Button A: X+98, Y+46
Button B: X+12, Y+96
Prize: X=1934, Y=5878

Button A: X+12, Y+53
Button B: X+92, Y+76
Prize: X=3044, Y=3204

Button A: X+19, Y+35
Button B: X+51, Y+27
Prize: X=9337, Y=17937

Button A: X+15, Y+51
Button B: X+67, Y+25
Prize: X=6435, Y=17067

Button A: X+52, Y+13
Button B: X+19, Y+45
Prize: X=1984, Y=14555

Button A: X+65, Y+60
Button B: X+18, Y+95
Prize: X=5668, Y=7270

Button A: X+30, Y+73
Button B: X+54, Y+19
Prize: X=2804, Y=8212

Button A: X+18, Y+38
Button B: X+96, Y+45
Prize: X=7656, Y=4653

Button A: X+25, Y+56
Button B: X+35, Y+18
Prize: X=18505, Y=200

Button A: X+83, Y+94
Button B: X+80, Y+25
Prize: X=10701, Y=6543

Button A: X+21, Y+79
Button B: X+76, Y+19
Prize: X=3657, Y=9083

Button A: X+38, Y+22
Button B: X+15, Y+29
Prize: X=11469, Y=1127

Button A: X+36, Y+93
Button B: X+70, Y+19
Prize: X=5552, Y=9164

Button A: X+80, Y+27
Button B: X+60, Y+94
Prize: X=8640, Y=5571

Button A: X+52, Y+11
Button B: X+76, Y+81
Prize: X=6700, Y=5053

Button A: X+57, Y+64
Button B: X+73, Y+21
Prize: X=8010, Y=4970

Button A: X+53, Y+16
Button B: X+26, Y+84
Prize: X=4221, Y=4168

Button A: X+41, Y+14
Button B: X+49, Y+78
Prize: X=18370, Y=8716

Button A: X+45, Y+32
Button B: X+11, Y+35
Prize: X=19090, Y=16328

Button A: X+31, Y+13
Button B: X+39, Y+66
Prize: X=16227, Y=14724

Button A: X+36, Y+16
Button B: X+22, Y+64
Prize: X=5758, Y=12512

Button A: X+64, Y+16
Button B: X+16, Y+72
Prize: X=3392, Y=5472

Button A: X+33, Y+12
Button B: X+54, Y+75
Prize: X=4502, Y=1436

Button A: X+98, Y+24
Button B: X+60, Y+78
Prize: X=5090, Y=4032

Button A: X+12, Y+48
Button B: X+47, Y+19
Prize: X=13500, Y=16720

Button A: X+61, Y+57
Button B: X+25, Y+99
Prize: X=3759, Y=6765

Button A: X+47, Y+15
Button B: X+25, Y+63
Prize: X=2029, Y=8573

Button A: X+17, Y+12
Button B: X+12, Y+33
Prize: X=9759, Y=11240

Button A: X+28, Y+48
Button B: X+39, Y+19
Prize: X=17681, Y=19221

Button A: X+12, Y+53
Button B: X+56, Y+21
Prize: X=16360, Y=10818

Button A: X+59, Y+15
Button B: X+19, Y+51
Prize: X=4944, Y=8300

Button A: X+42, Y+18
Button B: X+20, Y+65
Prize: X=17516, Y=6389

Button A: X+26, Y+11
Button B: X+40, Y+69
Prize: X=2540, Y=1155

Button A: X+68, Y+95
Button B: X+65, Y+26
Prize: X=4331, Y=5597

Button A: X+45, Y+13
Button B: X+26, Y+76
Prize: X=575, Y=5057

Button A: X+46, Y+80
Button B: X+47, Y+13
Prize: X=17542, Y=7716

Button A: X+19, Y+46
Button B: X+47, Y+27
Prize: X=3932, Y=4399

Button A: X+38, Y+99
Button B: X+93, Y+35
Prize: X=3282, Y=6063

Button A: X+21, Y+25
Button B: X+95, Y+12
Prize: X=3673, Y=2654

Button A: X+90, Y+12
Button B: X+43, Y+93
Prize: X=8760, Y=3786

Button A: X+35, Y+99
Button B: X+84, Y+53
Prize: X=9051, Y=12864

Button A: X+84, Y+52
Button B: X+14, Y+57
Prize: X=6706, Y=5263

Button A: X+26, Y+38
Button B: X+37, Y+11
Prize: X=527, Y=13601

Button A: X+17, Y+96
Button B: X+71, Y+35
Prize: X=7811, Y=7881

Button A: X+66, Y+28
Button B: X+12, Y+58
Prize: X=17012, Y=19410

Button A: X+33, Y+70
Button B: X+58, Y+18
Prize: X=392, Y=8982

Button A: X+38, Y+89
Button B: X+87, Y+14
Prize: X=8786, Y=2740

Button A: X+64, Y+35
Button B: X+32, Y+62
Prize: X=6368, Y=8661

Button A: X+16, Y+21
Button B: X+29, Y+12
Prize: X=17416, Y=2285

Button A: X+65, Y+16
Button B: X+26, Y+79
Prize: X=3432, Y=2442

Button A: X+17, Y+40
Button B: X+62, Y+39
Prize: X=1366, Y=5460

Button A: X+17, Y+41
Button B: X+59, Y+22
Prize: X=16283, Y=2934

Button A: X+50, Y+78
Button B: X+43, Y+15
Prize: X=15725, Y=19085

Button A: X+94, Y+42
Button B: X+55, Y+91
Prize: X=6683, Y=3451

Button A: X+60, Y+13
Button B: X+18, Y+59
Prize: X=7808, Y=2262

Button A: X+26, Y+99
Button B: X+66, Y+56
Prize: X=1858, Y=4731

Button A: X+59, Y+15
Button B: X+26, Y+70
Prize: X=15533, Y=3345

Button A: X+90, Y+61
Button B: X+19, Y+59
Prize: X=2943, Y=3240

Button A: X+89, Y+84
Button B: X+24, Y+96
Prize: X=8849, Y=15540

Button A: X+23, Y+46
Button B: X+53, Y+11
Prize: X=15002, Y=16394

Button A: X+74, Y+29
Button B: X+12, Y+53
Prize: X=16676, Y=14533

Button A: X+59, Y+12
Button B: X+66, Y+83
Prize: X=10542, Y=8406

Button A: X+94, Y+30
Button B: X+64, Y+79
Prize: X=6146, Y=3543

Button A: X+22, Y+83
Button B: X+40, Y+32
Prize: X=3388, Y=3626

Button A: X+27, Y+40
Button B: X+37, Y+18
Prize: X=9958, Y=634

Button A: X+31, Y+16
Button B: X+19, Y+53
Prize: X=3418, Y=1649

Button A: X+52, Y+52
Button B: X+19, Y+97
Prize: X=4010, Y=9158

Button A: X+85, Y+40
Button B: X+47, Y+85
Prize: X=10161, Y=7800

Button A: X+54, Y+28
Button B: X+22, Y+51
Prize: X=5402, Y=13116

Button A: X+52, Y+34
Button B: X+21, Y+46
Prize: X=9315, Y=15910

Button A: X+51, Y+75
Button B: X+87, Y+18
Prize: X=5799, Y=2811

Button A: X+32, Y+19
